Date,NFLX,DIS,PARA,WBD,AMZN
2021-09-15,573.140015,171.169998,36.860779,25.15,167.181503
2021-09-22,583.849976,174.520004,38.357712,25.6,165.798004
2021-09-29,634.809998,174.610001,37.728432,26.15,161.050003
2021-10-06,624.940002,173.130005,37.32798,24.58,162.366501
2021-10-13,639,171.179993,37.251701,24.9,172.207504
2021-10-20,668.52002,172.039993,35.354317,24.639999,168.803497
2021-10-27,677.719971,169.830002,35.630817,24.549999,165.637497
2021-11-03,655.98999,175.110001,33.847847,26.65,178.811493
2021-11-10,687.400024,158.830002,33.514133,27.73,177.035004
2021-11-17,654.059998,151.029999,31.416525,25.6,179.001999
2021-11-24,641.900024,144.899994,29.509602,23.27,175.3535
2021-12-01,625.580017,150.809998,29.919588,24.219999,176.164505
2021-12-08,597.98999,149.100006,28.222429,22.51,169.091507
2021-12-15,604.919983,151.050003,28.207268,23.530001,170.417007
2021-12-22,610.710022,155.199997,28.947289,24.33,170.660995
2021-12-29,591.150024,155.729996,31.763206,26.75,167.522003
2022-01-05,540.840027,157.889999,33.598843,28.68,165.362
2022-01-12,510.799988,152.270004,33.839108,29.639999,158.917496
2022-01-19,366.420013,136.509995,31.580608,26.860001,139.985992
2022-01-26,457.130005,144.490005,32.387901,27.17,151.193497
2022-02-02,403.529999,142.479996,33.185585,28.209999,161.413498
2022-02-09,407.459991,154.720001,34.588741,30.51,156.510498
2022-02-16,377.380005,148.089996,26.765671,28.280001,150.197495
2022-02-23,386.23999,145.699997,31.003965,28.110001,151.141998
2022-03-02,341.76001,131.75,32.435959,25.27,136.014496
2022-03-09,343.75,134.199997,33.839108,25.02,147.366501
2022-03-16,382.920013,140.110001,36.239304,26.870001,164.889008
2022-03-23,391.820007,142.380005,36.965446,26.25,169.315002
2022-03-30,380.149994,135.619995,35.668072,24.42,164.054993
2022-04-06,344.100006,130.839996,34.912888,24.68,150.787506
2022-04-13,348.609985,131.899994,35.125889,24.49,158.115494
2022-04-20,198.399994,115.769997,28.435703,19.83,139.391006
2022-04-27,199.869995,113.550003,28.92948,19.27,124.253502
2022-05-04,177.660004,107.68,26.547735,17.35,108.859001
2022-05-11,190.559998,108.639999,31.291859,18.360001,115.3685
2022-05-18,180.339996,101.589996,30.788401,16.860001,104.099998
2022-05-25,197.440002,110.440002,33.237919,18.450001,120.209503
2022-06-01,198.610001,107.790001,29.587847,17.17,123
2022-06-08,167.539993,94.220001,24.601677,13.98,102.309998
2022-06-15,170.910004,93.290001,24.040995,14.04,108.68
2022-06-22,179.600006,95.919998,24.979177,13.66,107.400002
2022-06-29,185.880005,97.18,24.617588,14.44,113.5
2022-07-06,174.449997,93.599998,24.519859,13.95,109.220001
2022-07-13,201.630005,99.610001,24.480768,14.25,118.209999
2022-07-20,213.910004,99.779999,23.591446,14.43,114.809998
2022-07-27,221.419998,104.709999,23.913948,16,134.160004
2022-08-03,229.940002,108.129997,24.12895,13.1,137.830002
2022-08-10,245.690002,124.959999,26.581913,13.69,144.779999
2022-08-17,224.550003,114.860001,23.943266,12.79,133.619995
2022-08-24,220.649994,112.43,23.513266,13.29,128.729996
2022-08-31,218.389999,110.089996,22.379623,12.63,126.110001
2022-09-07,218.130005,111.760002,22.018034,12.95,126.82
